Ano,Unidade_Geografica,Aprovacao_Ensino_Fundamental,Aprovacao_Ensino_Medio,Reprovacao_Ensino_Fundamental,Reprovacao_Ensino_Medio
2017,Brasil,91.0,83.1,7.4,10.8
2017,Brasil,91.6,83.0,7.0,10.9
2017,Brasil,87.4,84.2,9.7,8.3
2017,Brasil,94.4,86.1,5.5,11.6
2017,Brasil,94.4,85.9,5.5,11.8
2017,Brasil,97.3,87.1,1.8,10.7
2017,Brasil,89.4,81.2,8.6,11.8
2017,Brasil,89.5,81.1,8.6,12.0
2017,Brasil,87.9,83.7,9.0,8.3
2017,Brasil,89.7,86.1,8.4,9.2
2017,Brasil,90.4,86.6,7.9,9.4
2017,Brasil,87.2,82.2,9.9,7.8
2017,Brasil,97.7,95.7,2.1,4.0
2017,Brasil,97.8,95.7,2.1,4.0
2017,Brasil,95.6,92.8,4.0,4.2
2017,Brasil,89.6,81.4,8.4,11.8
2017,Brasil,90.1,81.2,8.1,11.9
2017,Brasil,87.3,83.9,9.8,8.4
2017,Norte,87.7,80.0,9.4,10.2
2017,Norte,89.5,79.7,8.3,10.6
2017,Norte,83.0,82.9,12.0,6.8
2017,Norte,93.4,85.8,6.6,12.7
2017,Norte,93.4,85.5,6.6,12.8
2017,Norte,,87.2,,12.3
2017,Norte,88.0,78.7,9.0,10.6
2017,Norte,88.3,78.2,8.9,11.1
2017,Norte,85.7,82.5,9.5,6.6
2017,Norte,86.2,78.7,10.5,12.1
2017,Norte,88.5,76.9,9.3,15.5
2017,Norte,82.6,84.8,12.4,0.7
2017,Norte,98.0,95.8,1.7,3.6
2017,Norte,98.1,96.0,1.7,3.6
2017,Norte,92.8,91.5,6.2,3.5
2017,Norte,86.8,78.9,10.0,10.7
2017,Norte,88.4,78.4,9.1,11.1
2017,Norte,83.0,82.7,12.0,6.8
2017,Rondônia,92.1,85.1,6.6,8.5
2017,Rondônia,92.8,84.7,6.1,9.0
2017,Rondônia,89.4,89.6,8.4,3.7
2017,Rondônia,,89.3,,10.0
2017,Rondônia,,87.2,,12.1
2017,Rondônia,,94.8,,4.5
2017,Rondônia,91.9,84.2,6.3,8.7
2017,Rondônia,92.1,84.0,6.2,9.1
2017,Rondônia,89.4,87.4,6.4,3.4
2017,Rondônia,91.3,,7.7,
2017,Rondônia,92.3,,7.1,
2017,Rondônia,89.4,,9.0,
2017,Rondônia,98.4,93.1,1.5,5.4
2017,Rondônia,98.4,93.0,1.5,5.7
2017,Rondônia,98.9,93.7,1.1,4.1
2017,Rondônia,91.5,84.6,7.1,8.8
2017,Rondônia,92.2,84.2,6.6,9.2
2017,Rondônia,89.4,89.0,8.5,3.7
2017,Acre,91.3,84.3,6.4,8.9
2017,Acre,94.4,83.5,4.7,10.2
2017,Acre,85.0,87.6,9.8,3.7
2017,Acre,90.8,78.6,8.9,15.5
2017,Acre,90.8,78.6,8.9,15.5
2017,Acre,92.4,84.0,5.3,8.9
2017,Acre,94.6,83.0,4.3,10.3
2017,Acre,86.8,87.6,7.9,3.7
2017,Acre,88.5,,8.7,
2017,Acre,93.0,,6.3,
2017,Acre,83.3,,11.6,
2017,Acre,99.2,96.0,0.7,3.8
2017,Acre,99.2,96.0,0.7,3.8
2017,Acre,90.9,83.8,6.6,9.2
2017,Acre,94.1,82.8,4.9,10.5
2017,Acre,85.0,87.6,9.8,3.7
2017,Amazonas,90.3,83.7,6.6,7.4
2017,Amazonas,92.3,83.5,5.7,7.7
2017,Amazonas,84.5,85.1,9.4,5.5
2017,Amazonas,96.3,85.9,3.7,13.2
2017,Amazonas,96.3,85.9,3.7,13.1
2017,Amazonas,,85.7,,13.4
2017,Amazonas,92.5,83.2,5.2,7.3
2017,Amazonas,92.7,82.8,5.1,7.7
2017,Amazonas,89.9,85.1,5.9,5.4
2017,Amazonas,88.2,84.9,8.0,4.0
2017,Amazonas,90.8,87.1,7.0,4.9
2017,Amazonas,83.9,77.5,9.7,1.1
2017,Amazonas,98.2,95.1,1.6,4.4
2017,Amazonas,98.2,95.2,1.6,4.4
2017,Amazonas,96.5,91.8,3.5,8.2
2017,Amazonas,89.7,83.3,7.0,7.5
2017,Amazonas,91.6,82.9,6.1,7.9
2017,Amazonas,84.4,85.0,9.4,5.5
2017,Roraima,90.7,81.4,7.4,10.9
2017,Roraima,91.2,80.5,7.3,12.1
2017,Roraima,89.2,85.1,7.8,6.0
2017,Roraima,99.1,92.4,0.9,6.5
2017,Roraima,99.1,92.2,0.9,6.3
2017,Roraima,,92.7,,7.1
2017,Roraima,87.3,79.5,9.5,11.7
2017,Roraima,86.3,78.4,10.8,13.2
2017,Roraima,89.0,84.2,7.4,6.0
2017,Roraima,92.7,,6.3,
2017,Roraima,93.6,,5.7,
2017,Roraima,89.7,,8.4,
2017,Roraima,97.8,95.3,2.2,4.4
2017,Roraima,97.8,95.5,2.2,4.5
2017,Roraima,,88.2,,0.0
2017,Roraima,90.0,80.5,7.9,11.3
2017,Roraima,90.4,79.3,8.0,12.7
2017,Roraima,89.2,85.1,7.8,6.1
2017,Pará,84.4,76.1,11.9,11.7
2017,Pará,86.2,76.0,10.8,11.9
2017,Pará,80.9,77.7,13.9,8.0
2017,Pará,91.6,85.6,8.4,11.4
2017,Pará,91.6,85.0,8.4,11.8
2017,Pará,,94.5,,5.0
2017,Pará,80.1,74.0,14.9,12.5
2017,Pará,80.2,73.8,14.9,12.8
2017,Pará,79.4,77.1,13.7,8.3
2017,Pará,83.6,66.3,12.5,28.1
2017,Pará,85.6,56.0,11.4,37.3
2017,Pará,80.9,98.0,13.9,0.0
2017,Pará,97.7,96.3,2.0,3.1
