Em que ano a criança/adolescente está na escola?,Faixa Etária,Região,A criança/adolescente usa a Internet na escola?,"Nos últimos três meses, a criança/adolescente pesquisou coisas na Internet para fazer trabalhos na escola?",Com que frequência a criança/adolescente pesquisa coisas na Internet para fazer trabalhos da escola?,"Nos últimos três meses, a criança/adolescente mandou mensagens no Whatsapp, Snapchat ou chat do Facebook?","Com que frequência a criança/adolescente manda mensagens no Whatsapp, Snapchat ou chat do Facebook?","Nos últimos 12 meses, a criança/adolescente passou menos tempo que devia com a família, amigos ou fazendo lição de casa porque ficou muito tempo na Internet?","Com que frequência a criança/adolescente usa o Facebook, Instagram, Twitter ou outra rede social?",Ano,"Nos últimos três meses, a criança/adolescente pesquisou coisas na Internet para fazer trabalhos da escola?","Nos últimos três meses, a criança/adolescente usou o Facebook, Instagram, Twitter, TikTok ou outra rede social?","Com que frequência a criança/adolescente usa o Facebook, Instagram, Twitter, TikTok ou outra rede social?",Agrupamento - Faixa etária da criança ou do adolescente,Agrupamento - Região,"Nos últimos três meses, a criança/adolescente usou o Facebook, Instagram, X, antigo Twitter, TikTok ou outra rede social?","Com que frequência a criança/adolescente usa o Facebook, Instagram, X, antigo Twitter, TikTok ou outra rede social?"
5º ano do Ensino Fundamental / 4ª série do Ensino Fundamental,De 9 a 10 anos,Norte,Sim,Sim,Pelo menos uma vez por semana,Sim,Mais de uma vez por dia,Não se aplica,Não se aplica,2017,,,,,,,
1º ano do Ensino Médio,De 15 a 17 anos,Norte,Sim,Não,Não se aplica,Sim,Pelo menos uma vez por dia,Não,Pelo menos uma vez por dia,2017,,,,,,,
7º ano do Ensino Fundamental / 6ª série do Ensino Fundamental,De 11 a 12 anos,Norte,Não,Sim,Pelo menos uma vez por dia,Sim,Mais de uma vez por dia,Não,Não se aplica,2017,,,,,,,
7º ano do Ensino Fundamental / 6ª série do Ensino Fundamental,De 11 a 12 anos,Norte,Não,Não,Não se aplica,Não,Não se aplica,Não sabe,Não se aplica,2017,,,,,,,
8º ano do Ensino Fundamental / 7ª série do Ensino Fundamental,De 13 a 14 anos,Norte,Sim,Sim,Mais de uma vez por dia,Sim,Pelo menos uma vez por semana,Sim,Pelo menos uma vez por dia,2017,,,,,,,
5º ano do Ensino Fundamental / 4ª série do Ensino Fundamental,De 9 a 10 anos,Norte,Não,Não,Não se aplica,Sim,Pelo menos uma vez por mês,Não se aplica,Não se aplica,2017,,,,,,,
4º ano do Ensino Fundamental / 3ª série do Ensino Fundamental,De 9 a 10 anos,Norte,Não,Sim,Mais de uma vez por dia,Não,Não se aplica,Não se aplica,Não se aplica,2017,,,,,,,
5º ano do Ensino Fundamental / 4ª série do Ensino Fundamental,De 9 a 10 anos,Norte,Não,Sim,Pelo menos uma vez por dia,Não,Não se aplica,Não se aplica,Não se aplica,2017,,,,,,,
8º ano do Ensino Fundamental / 7ª série do Ensino Fundamental,De 13 a 14 anos,Norte,Sim,Não,Não se aplica,Sim,Mais de uma vez por dia,Não,Mais de uma vez por dia,2017,,,,,,,
1º ano do Ensino Médio,De 15 a 17 anos,Norte,Não,Sim,Menos de uma vez por mês,Sim,Pelo menos uma vez por mês,Não,Mais de uma vez por dia,2017,,,,,,,
6º ano do Ensino Fundamental / 5ª série do Ensino Fundamental,De 11 a 12 anos,Norte,Não,Sim,Mais de uma vez por dia,Sim,Mais de uma vez por dia,Não,Mais de uma vez por dia,2017,,,,,,,
5º ano do Ensino Fundamental / 4ª série do Ensino Fundamental,De 9 a 10 anos,Norte,Não,Sim,Mais de uma vez por dia,Sim,Pelo menos uma vez por mês,Não se aplica,Não se aplica,2017,,,,,,,
